tmean,j_day
20.79,919
20.79,920
20.79,921
20.79,922
20.79,923
20.79,924
20.79,925
20.79,926
20.79,927
20.79,928
20.79,929
20.79,930
20.79,931
20.79,932
20.79,933
20.79,934
20.79,935
20.79,936
20.79,937
20.79,938
20.79,939
20.79,940
20.79,941
20.79,942
20.09,943
20.09,944
20.09,945
20.09,946
20.09,947
20.09,948
20.09,949
20.09,950
20.09,951
20.09,952
20.09,953
20.09,954
20.09,955
20.09,956
20.09,957
20.09,958
20.09,959
20.09,960
20.09,961
20.09,962
20.09,963
20.09,964
20.09,965
20.09,966
20.09,967
20.09,968
20.09,969
20.09,970
20.09,971
20.09,972
20.09,973
16.23,974
16.23,975
16.23,976
16.23,977
16.23,978
16.23,979
16.23,980
16.23,981
16.23,982
16.23,983
16.23,984
16.23,985
16.23,986
16.23,987
16.23,988
16.23,989
16.23,990
16.23,991
16.23,992
16.23,993
16.23,994
16.23,995
16.23,996
16.23,997
16.23,998
16.23,999
16.23,1000
16.23,1001
16.23,1002
16.23,1003
9.82,1004
9.82,1005
9.82,1006
9.82,1007
9.82,1008
9.82,1009
9.82,1010
9.82,1011
9.82,1012
9.82,1013
9.82,1014
9.82,1015
9.82,1016
9.82,1017
9.82,1018
9.82,1019
9.82,1020
9.82,1021
9.82,1022
9.82,1023
9.82,1024
9.82,1025
9.82,1026
9.82,1027
9.82,1028
9.82,1029
9.82,1030
9.82,1031
9.82,1032
9.82,1033
9.82,1034
4.21,1035
4.21,1036
4.21,1037
4.21,1038
4.21,1039
4.21,1040
4.21,1041
4.21,1042
4.21,1043
4.21,1044
4.21,1045
4.21,1046
4.21,1047
4.21,1048
4.21,1049
4.21,1050
4.21,1051
4.21,1052
4.21,1053
4.21,1054
4.21,1055
4.21,1056
4.21,1057
4.21,1058
4.21,1059
4.21,1060
4.21,1061
4.21,1062
4.21,1063
4.21,1064
-0,1065
-0,1066
-0,1067
-0,1068
-0,1069
-0,1070
-0,1071
-0,1072
-0,1073
-0,1074
-0,1075
-0,1076
-0,1077
-0,1078
-0,1079
-0,1080
-0,1081
-0,1082
-0,1083
-0,1084
-0,1085
-0,1086
-0,1087
-0,1088
-0,1089
-0,1090
-0,1091
-0,1092
-0,1093
-0,1094
-0,1095
-0,1096
-0,1097
-0,1098
-0,1099
-0,1100
-0,1101
-0,1102
-0,1103
-0,1104
-0,1105
-0,1106
-0,1107
-0,1108
-0,1109
-0,1110
-0,1111
-0,1112
-0,1113
-0,1114
-0,1115
-0,1116
-0,1117
-0,1118
-0,1119
-0,1120
-0,1121
-0,1122
-0,1123
-0,1124
-0,1125
-0,1126
-0,1127
-0,1128
-0,1129
-0,1130
-0,1131
-0,1132
-0,1133
-0,1134
-0,1135
-0,1136
-0,1137
-0,1138
-0,1139
-0,1140
-0,1141
-0,1142
-0,1143
-0,1144
-0,1145
-0,1146
-0,1147
-0,1148
-0,1149
-0,1150
-0,1151
-0,1152
-0,1153
-0,1154
0.26,1155
0.26,1156
0.26,1157
0.26,1158
0.26,1159
0.26,1160
0.26,1161
0.26,1162
0.26,1163
0.26,1164
0.26,1165
0.26,1166
0.26,1167
0.26,1168
0.26,1169
0.26,1170
0.26,1171
0.26,1172
0.26,1173
0.26,1174
0.26,1175
0.26,1176
0.26,1177
0.26,1178
0.26,1179
0.26,1180
0.26,1181
0.26,1182
0.26,1183
0.26,1184
0.26,1185
6.23,1186
6.23,1187
6.23,1188
6.23,1189
6.23,1190
6.23,1191
