tick_sp, tick_stage, host_sp, p_i_j, s_i_j, r_i,d_i
ixodes scapularis, larva, peromyscus leucopus, NA, NA, NA,NA
ixodes scapularis, larva, peromyscus maniculatus, NA, NA, NA,NA
