day,stage,pop,age_group,process,infected
8,fin,0,n,f,TRUE
8,fun,0,n,f,FALSE
8,h_l,0,l,h,FALSE
8,q_l,0,l,q,FALSE
8,eua,29943.05127094163,a,e,FALSE
8,eia,0,a,e,TRUE
8,fia,0,a,f,TRUE
8,fua,0,a,f,FALSE
8,dia,0,a,d,TRUE
8,dua,0,a,d,FALSE
8,qia,0,a,q,TRUE
8,qin,0,n,q,TRUE
8,qua,0,a,q,FALSE
8,qun,0,n,q,FALSE
9,__e,0,e,_,FALSE
9,eil,0,l,e,TRUE
9,eul,0,l,e,FALSE
9,d_l,0,l,d,FALSE
9,f_l,0,l,f,FALSE
9,ein,0,n,e,TRUE
9,eun,0,n,e,FALSE
9,din,0,n,d,TRUE
9,dun,0,n,d,FALSE
9,fin,0,n,f,TRUE
9,fun,0,n,f,FALSE
9,h_l,0,l,h,FALSE
9,q_l,0,l,q,FALSE
9,eua,29943.05127094163,a,e,FALSE
9,eia,0,a,e,TRUE
9,fia,0,a,f,TRUE
9,fua,0,a,f,FALSE
9,dia,0,a,d,TRUE
9,dua,0,a,d,FALSE
9,qia,0,a,q,TRUE
9,qin,0,n,q,TRUE
9,qua,0,a,q,FALSE
9,qun,0,n,q,FALSE
10,__e,0,e,_,FALSE
10,eil,0,l,e,TRUE
10,eul,0,l,e,FALSE
10,d_l,0,l,d,FALSE
10,f_l,0,l,f,FALSE
10,ein,0,n,e,TRUE
10,eun,0,n,e,FALSE
10,din,0,n,d,TRUE
10,dun,0,n,d,FALSE
10,fin,0,n,f,TRUE
10,fun,0,n,f,FALSE
10,h_l,0,l,h,FALSE
10,q_l,0,l,q,FALSE
10,eua,29943.05127094163,a,e,FALSE
10,eia,0,a,e,TRUE
10,fia,0,a,f,TRUE
10,fua,0,a,f,FALSE
10,dia,0,a,d,TRUE
10,dua,0,a,d,FALSE
10,qia,0,a,q,TRUE
10,qin,0,n,q,TRUE
10,qua,0,a,q,FALSE
10,qun,0,n,q,FALSE
11,__e,0,e,_,FALSE
11,eil,0,l,e,TRUE
11,eul,0,l,e,FALSE
11,d_l,0,l,d,FALSE
11,f_l,0,l,f,FALSE
11,ein,0,n,e,TRUE
11,eun,0,n,e,FALSE
11,din,0,n,d,TRUE
11,dun,0,n,d,FALSE
11,fin,0,n,f,TRUE
11,fun,0,n,f,FALSE
11,h_l,0,l,h,FALSE
11,q_l,0,l,q,FALSE
