host_spp,j_day,host_den
squirrel,150,8
deer,150,0.25
mouse,151,40
squirrel,151,8
deer,151,0.25
mouse,152,40
squirrel,152,8
deer,152,0.25
mouse,153,40
squirrel,153,8
deer,153,0.25
mouse,154,40
squirrel,154,8
deer,154,0.25
mouse,155,40
squirrel,155,8
deer,155,0.25
mouse,156,40
squirrel,156,8
deer,156,0.25
mouse,157,40
squirrel,157,8
deer,157,0.25
mouse,158,40
squirrel,158,8
deer,158,0.25
mouse,159,40
squirrel,159,8
deer,159,0.25
mouse,160,40
squirrel,160,8
deer,160,0.25
mouse,161,40
squirrel,161,8
deer,161,0.25
mouse,162,40
squirrel,162,8
deer,162,0.25
mouse,163,40
squirrel,163,8
deer,163,0.25
mouse,164,40
squirrel,164,8
deer,164,0.25
mouse,165,40
squirrel,165,8
deer,165,0.25
mouse,166,40
squirrel,166,8
deer,166,0.25
mouse,167,40
squirrel,167,8
deer,167,0.25
mouse,168,40
squirrel,168,8
deer,168,0.25
mouse,169,40
squirrel,169,8
deer,169,0.25
mouse,170,40
squirrel,170,8
deer,170,0.25
mouse,171,40
squirrel,171,8
deer,171,0.25
mouse,172,40
squirrel,172,8
deer,172,0.25
mouse,173,40
squirrel,173,8
deer,173,0.25
mouse,174,40
squirrel,174,8
deer,174,0.25
mouse,175,40
squirrel,175,8
deer,175,0.25
mouse,176,40
squirrel,176,8
deer,176,0.25
mouse,177,40
squirrel,177,8
deer,177,0.25
mouse,178,40
squirrel,178,8
deer,178,0.25
mouse,179,40
squirrel,179,8
deer,179,0.25
mouse,180,40
squirrel,180,8
deer,180,0.25
mouse,181,40
squirrel,181,8
deer,181,0.25
mouse,182,40
squirrel,182,8
deer,182,0.25
mouse,183,40
squirrel,183,8
deer,183,0.25
mouse,184,40
squirrel,184,8
deer,184,0.25
mouse,185,40
squirrel,185,8
deer,185,0.25
mouse,186,40
squirrel,186,8
deer,186,0.25
mouse,187,40
squirrel,187,8
deer,187,0.25
mouse,188,40
squirrel,188,8
deer,188,0.25
mouse,189,40
squirrel,189,8
deer,189,0.25
mouse,190,40
squirrel,190,8
deer,190,0.25
mouse,191,40
squirrel,191,8
deer,191,0.25
mouse,192,40
squirrel,192,8
deer,192,0.25
mouse,193,40
squirrel,193,8
deer,193,0.25
mouse,194,40
squirrel,194,8
deer,194,0.25
mouse,195,40
squirrel,195,8
deer,195,0.25
mouse,196,40
squirrel,196,8
deer,196,0.25
mouse,197,40
squirrel,197,8
deer,197,0.25
mouse,198,40
squirrel,198,8
deer,198,0.25
mouse,199,40
squirrel,199,8
deer,199,0.25
mouse,200,40
squirrel,200,8
deer,200,0.25
mouse,201,40
squirrel,201,8
deer,201,0.25
mouse,202,40
squirrel,202,8
deer,202,0.25
mouse,203,40
squirrel,203,8
deer,203,0.25
mouse,204,40
squirrel,204,8
deer,204,0.25
mouse,205,40
squirrel,205,8
deer,205,0.25
mouse,206,40
squirrel,206,8
deer,206,0.25
mouse,207,40
squirrel,207,8
deer,207,0.25
mouse,208,40
squirrel,208,8
deer,208,0.25
mouse,209,40
squirrel,209,8
deer,209,0.25
mouse,210,40
squirrel,210,8
deer,210,0.25
mouse,211,40
squirrel,211,8
deer,211,0.25
mouse,212,40
squirrel,212,8
deer,212,0.25
mouse,213,40
squirrel,213,8
deer,213,0.25
mouse,214,40
squirrel,214,8
deer,214,0.25
mouse,215,40
squirrel,215,8
deer,215,0.25
mouse,216,40
squirrel,216,8
deer,216,0.25
mouse,217,40
squirrel,217,8
deer,217,0.25
mouse,218,40
squirrel,218,8
deer,218,0.25
mouse,219,40
squirrel,219,8
deer,219,0.25
mouse,220,40
squirrel,220,8
deer,220,0.25
mouse,221,40
squirrel,221,8
deer,221,0.25
mouse,222,40
squirrel,222,8
deer,222,0.25
mouse,223,40
squirrel,223,8
deer,223,0.25
mouse,224,40
squirrel,224,8
deer,224,0.25
mouse,225,40
squirrel,225,8
deer,225,0.25
mouse,226,40
squirrel,226,8
deer,226,0.25
mouse,227,40
squirrel,227,8
deer,227,0.25
mouse,228,40
squirrel,228,8
deer,228,0.25
mouse,229,40
squirrel,229,8
deer,229,0.25
mouse,230,40
squirrel,230,8
deer,230,0.25
mouse,231,40
squirrel,231,8
deer,231,0.25
mouse,232,40
squirrel,232,8
deer,232,0.25
mouse,233,40
squirrel,233,8
deer,233,0.25
mouse,234,40
squirrel,234,8
deer,234,0.25
mouse,235,40
squirrel,235,8
deer,235,0.25
mouse,236,40
squirrel,236,8
deer,236,0.25
mouse,237,40
squirrel,237,8
deer,237,0.25
mouse,238,40
squirrel,238,8
deer,238,0.25
mouse,239,40
squirrel,239,8
deer,239,0.25
mouse,240,40
squirrel,240,8
deer,240,0.25
