host_spp,j_day,host_den
deer,562,0.25
mouse,563,40
squirrel,563,8
deer,563,0.25
mouse,564,40
squirrel,564,8
deer,564,0.25
mouse,565,40
squirrel,565,8
deer,565,0.25
mouse,566,40
squirrel,566,8
deer,566,0.25
mouse,567,40
squirrel,567,8
deer,567,0.25
mouse,568,40
squirrel,568,8
deer,568,0.25
mouse,569,40
squirrel,569,8
deer,569,0.25
mouse,570,40
squirrel,570,8
deer,570,0.25
mouse,571,40
squirrel,571,8
deer,571,0.25
mouse,572,40
squirrel,572,8
deer,572,0.25
mouse,573,40
squirrel,573,8
deer,573,0.25
mouse,574,40
squirrel,574,8
deer,574,0.25
mouse,575,40
squirrel,575,8
deer,575,0.25
mouse,576,40
squirrel,576,8
deer,576,0.25
mouse,577,40
squirrel,577,8
deer,577,0.25
mouse,578,40
squirrel,578,8
deer,578,0.25
mouse,579,40
squirrel,579,8
deer,579,0.25
mouse,580,40
squirrel,580,8
deer,580,0.25
mouse,581,40
squirrel,581,8
deer,581,0.25
mouse,582,40
squirrel,582,8
deer,582,0.25
mouse,583,40
squirrel,583,8
deer,583,0.25
mouse,584,40
squirrel,584,8
deer,584,0.25
mouse,585,40
squirrel,585,8
deer,585,0.25
mouse,586,40
squirrel,586,8
deer,586,0.25
mouse,587,40
squirrel,587,8
deer,587,0.25
mouse,588,40
squirrel,588,8
deer,588,0.25
mouse,589,40
squirrel,589,8
deer,589,0.25
mouse,590,40
squirrel,590,8
deer,590,0.25
mouse,591,40
squirrel,591,8
deer,591,0.25
mouse,592,40
squirrel,592,8
deer,592,0.25
mouse,593,40
squirrel,593,8
deer,593,0.25
mouse,594,40
squirrel,594,8
deer,594,0.25
mouse,595,40
squirrel,595,8
deer,595,0.25
mouse,596,40
squirrel,596,8
deer,596,0.25
mouse,597,40
squirrel,597,8
deer,597,0.25
mouse,598,40
squirrel,598,8
