from,to,transition_fun,delay,pred1,pred2,source
__e,q_l,constant_fun,TRUE,NA,NA,Drew and Samuel 1986
__e,per_capita_m,constant_fun,TRUE,NA,NA,Drew and Samuel 1986
q_l,a_l,feed_fun,FALSE,host_den,max_temp, Drew and Samuel 1985
q_l,m,snow_cover_fun,FALSE,snow_cover,NA,Drew and Samuel 1985
a_l,e_a,constant_fun,TRUE,NA,NA,Addison and McLaughlin 1988
a_l,per_capita_m,constant_fun,TRUE,NA,NA, guess 
e_a,r_a,expo_fun,TRUE,max_temp,NA,Drew and Samuel 1986 
e_a,per_capita_m,snow_cover_fun,TRUE,snow_cover,NA,Drew and Samuel 1986
r_a,__e,constant_fun,FALSE,NA,NA,Drew and Samuel 1986
