j_day,host_spp,host_den
3539,mouse,100
3539,squirrel,8
3540,deer,8
3540,mouse,100
3540,squirrel,8
3541,deer,8
3541,mouse,100
3541,squirrel,8
3542,deer,8
3542,mouse,100
3542,squirrel,8
3543,deer,8
3543,mouse,100
3543,squirrel,8
3544,deer,8
3544,mouse,100
3544,squirrel,8
3545,deer,8
3545,mouse,100
3545,squirrel,8
3546,deer,8
3546,mouse,100
3546,squirrel,8
3547,deer,8
3547,mouse,100
3547,squirrel,8
3548,deer,8
3548,mouse,100
3548,squirrel,8
3549,deer,8
3549,mouse,100
3549,squirrel,8
3550,deer,8
3550,mouse,100
3550,squirrel,8
3551,deer,8
3551,mouse,100
3551,squirrel,8
3552,deer,8
3552,mouse,100
3552,squirrel,8
3553,deer,8
3553,mouse,100
3553,squirrel,8
3554,deer,8
3554,mouse,100
3554,squirrel,8
3555,deer,8
3555,mouse,100
3555,squirrel,8
3556,deer,8
3556,mouse,100
3556,squirrel,8
3557,deer,8
3557,mouse,100
3557,squirrel,8
3558,deer,8
3558,mouse,100
3558,squirrel,8
3559,deer,8
3559,mouse,100
3559,squirrel,8
3560,deer,8
3560,mouse,100
3560,squirrel,8
3561,deer,8
3561,mouse,100
3561,squirrel,8
3562,deer,8
3562,mouse,100
3562,squirrel,8
3563,deer,8
3563,mouse,100
3563,squirrel,8
3564,deer,8
3564,mouse,100
3564,squirrel,8
3565,deer,8
3565,mouse,100
3565,squirrel,8
3566,deer,8
3566,mouse,100
3566,squirrel,8
3567,deer,8
3567,mouse,100
3567,squirrel,8
3568,deer,8
3568,mouse,100
3568,squirrel,8
3569,deer,8
3569,mouse,100
3569,squirrel,8
3570,deer,8
3570,mouse,100
3570,squirrel,8
3571,deer,8
3571,mouse,100
3571,squirrel,8
3572,deer,8
3572,mouse,100
3572,squirrel,8
3573,deer,8
3573,mouse,100
3573,squirrel,8
3574,deer,8
3574,mouse,100
3574,squirrel,8
3575,deer,8
3575,mouse,100
3575,squirrel,8
3576,deer,8
3576,mouse,100
3576,squirrel,8
3577,deer,8
3577,mouse,100
3577,squirrel,8
3578,deer,8
3578,mouse,100
3578,squirrel,8
3579,deer,8
3579,mouse,100
3579,squirrel,8
3580,deer,8
3580,mouse,100
3580,squirrel,8
3581,deer,8
3581,mouse,100
3581,squirrel,8
3582,deer,8
3582,mouse,100
3582,squirrel,8
3583,deer,8
3583,mouse,100
3583,squirrel,8
3584,deer,8
3584,mouse,100
3584,squirrel,8
3585,deer,8
3585,mouse,100
3585,squirrel,8
3586,deer,8
3586,mouse,100
3586,squirrel,8
3587,deer,8
3587,mouse,100
3587,squirrel,8
3588,deer,8
3588,mouse,100
3588,squirrel,8
3589,deer,8
3589,mouse,100
3589,squirrel,8
3590,deer,8
3590,mouse,100
3590,squirrel,8
3591,deer,8
