author, year, link, notes
Ogden et al., 2004, https://doi.org/10.1603/0022-2585-41.4.622, NA
Ogden et al., 2005, https://doi.org/10.1016/j.ijpara.2004.12.013, NA
Dobson et al., 2011, https://doi.org/10.1111/j.1365-2664.2011.02003.x, NA
Wallace et al., 2019, https://doi.org/10.1155/2019/9817930, NA
Randolph et al., 1999, http://doi.org/10.1093/jmedent/36.6.741, effect of sat def on questing - see fig 3
