"Climate Normals 1971-2000 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*EXETER","ON"," 43°21'00.000"" N"," 81°30'00.000"" W","262.1 m","6122370","",""
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1971 to 2000 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
">= 5 mm","6.2","4.0","4.5","5.5","5.1","4.6","4.6","4.8","5.9","5.9","6.4","6.8","64.3","A"
">= 10 mm","2.5","1.7","2.0","2.3","2.3","2.6","2.6","3.1","3.8","3.0","3.0","2.9","31.8","A"
">= 25 mm","0.28","0.14","0.30","0.41","0.43","0.50","0.93","0.83","0.86","0.33","0.30","0.45","5.8","A"
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.2","2.7","6.7","3.2","0.6","0.0","0.0","0.0","13.3","D"
"Above 18 °C","0.0","0.0","0.1","1.2","14.6","49.2","87.1","65.9","21.1","1.3","0.0","0.0","240.4","D"
"Above 15 °C","0.0","0.0","1.1","4.1","37.7","107.9","168.6","141.5","56.3","7.2","0.0","0.0","524.5","D"
"Above 10 °C","0.0","0.1","5.0","19.7","118.4","241.7","322.2","293.1","164.3","44.4","5.5","0.1","1214.6","D"
"Above 5 °C","1.2","1.0","22.4","74.9","250.5","389.7","477.2","448.0","309.3","139.5","33.6","3.2","2150.6","D"
"Above 0 °C","11.6","10.1","67.8","186.7","403.6","539.7","632.2","603.0","459.3","284.2","113.7","24.5","3336.4","D"
"Below 0 °C","194.9","182.0","80.8","7.2","0.0","0.0","0.0","0.0","0.0","0.3","17.5","110.4","593.0","D"
"Below 5 °C","339.5","314.0","190.4","45.4","1.9","0.0","0.0","0.0","0.0","10.6","87.4","244.2","1233.3","D"
"Below 10 °C","493.3","454.2","328.0","140.1","24.8","2.0","0.0","0.1","5.1","70.4","209.3","396.1","2123.3","D"
"Below 15 °C","648.3","595.1","479.1","274.6","99.1","18.2","1.3","3.5","47.0","188.3","353.8","551.0","3259.3","D"
"Below 18 °C","741.3","679.7","571.1","361.7","169.0","49.4","12.8","20.9","101.8","275.4","443.8","644.0","4070.8","D"
