day,stage,pop,age_group,process,infected
14,a_n,0,n,a,FALSE
14,h_l,0,l,h,FALSE
14,q_l,0,l,q,FALSE
14,e_a,0,a,e,FALSE
14,r_a,0,a,r,FALSE
14,a_a,0,a,a,FALSE
14,q_a,9247.471407118712,a,q,FALSE
14,q_n,0,n,q,FALSE
15,__e,0,e,_,FALSE
15,e_l,0,l,e,FALSE
15,e_n,0,n,e,FALSE
15,a_l,0,l,a,FALSE
15,a_n,0,n,a,FALSE
15,h_l,0,l,h,FALSE
15,q_l,0,l,q,FALSE
15,e_a,0,a,e,FALSE
15,r_a,0,a,r,FALSE
15,a_a,0,a,a,FALSE
15,q_a,9191.986578676,a,q,FALSE
15,q_n,0,n,q,FALSE
16,__e,0,e,_,FALSE
16,e_l,0,l,e,FALSE
16,e_n,0,n,e,FALSE
16,a_l,0,l,a,FALSE
16,a_n,0,n,a,FALSE
16,h_l,0,l,h,FALSE
16,q_l,0,l,q,FALSE
16,e_a,0,a,e,FALSE
16,r_a,0,a,r,FALSE
16,a_a,0,a,a,FALSE
16,q_a,9136.834659203943,a,q,FALSE
16,q_n,0,n,q,FALSE
17,__e,0,e,_,FALSE
17,e_l,0,l,e,FALSE
17,e_n,0,n,e,FALSE
17,a_l,0,l,a,FALSE
17,a_n,0,n,a,FALSE
17,h_l,0,l,h,FALSE
17,q_l,0,l,q,FALSE
17,e_a,0,a,e,FALSE
17,r_a,0,a,r,FALSE
17,a_a,0,a,a,FALSE
17,q_a,9082.013651248719,a,q,FALSE
17,q_n,0,n,q,FALSE
18,__e,0,e,_,FALSE
18,e_l,0,l,e,FALSE
18,e_n,0,n,e,FALSE
18,a_l,0,l,a,FALSE
18,a_n,0,n,a,FALSE
18,h_l,0,l,h,FALSE
18,q_l,0,l,q,FALSE
18,e_a,0,a,e,FALSE
18,r_a,0,a,r,FALSE
18,a_a,0,a,a,FALSE
18,q_a,9027.521569341226,a,q,FALSE
18,q_n,0,n,q,FALSE
19,__e,0,e,_,FALSE
19,e_l,0,l,e,FALSE
19,e_n,0,n,e,FALSE
19,a_l,0,l,a,FALSE
19,a_n,0,n,a,FALSE
19,h_l,0,l,h,FALSE
19,q_l,0,l,q,FALSE
19,e_a,0,a,e,FALSE
19,r_a,0,a,r,FALSE
19,a_a,0,a,a,FALSE
19,q_a,8973.356439925179,a,q,FALSE
19,q_n,0,n,q,FALSE
20,__e,0,e,_,FALSE
20,e_l,0,l,e,FALSE
20,e_n,0,n,e,FALSE
20,a_l,0,l,a,FALSE
20,a_n,0,n,a,FALSE
20,h_l,0,l,h,FALSE
20,q_l,0,l,q,FALSE
20,e_a,0,a,e,FALSE
20,r_a,0,a,r,FALSE
20,a_a,0,a,a,FALSE
20,q_a,8919.516301285628,a,q,FALSE
20,q_n,0,n,q,FALSE
21,__e,0,e,_,FALSE
21,e_l,0,l,e,FALSE
21,e_n,0,n,e,FALSE
21,a_l,0,l,a,FALSE
21,a_n,0,n,a,FALSE
21,h_l,0,l,h,FALSE
21,q_l,0,l,q,FALSE
21,e_a,0,a,e,FALSE
21,r_a,0,a,r,FALSE
21,a_a,0,a,a,FALSE
21,q_a,8865.999203477915,a,q,FALSE
21,q_n,0,n,q,FALSE
22,__e,0,e,_,FALSE
22,e_l,0,l,e,FALSE
22,e_n,0,n,e,FALSE
22,a_l,0,l,a,FALSE
22,a_n,0,n,a,FALSE
22,h_l,0,l,h,FALSE
22,q_l,0,l,q,FALSE
22,e_a,0,a,e,FALSE
22,r_a,0,a,r,FALSE
22,a_a,0,a,a,FALSE
22,q_a,8812.803208257048,a,q,FALSE
22,q_n,0,n,q,FALSE
23,__e,0,e,_,FALSE
23,e_l,0,l,e,FALSE
23,e_n,0,n,e,FALSE
23,a_l,0,l,a,FALSE
23,a_n,0,n,a,FALSE
23,h_l,0,l,h,FALSE
23,q_l,0,l,q,FALSE
23,e_a,0,a,e,FALSE
23,r_a,0,a,r,FALSE
23,a_a,0,a,a,FALSE
23,q_a,8759.926389007505,a,q,FALSE
23,q_n,0,n,q,FALSE
24,__e,0,e,_,FALSE
24,e_l,0,l,e,FALSE
24,e_n,0,n,e,FALSE
24,a_l,0,l,a,FALSE
24,a_n,0,n,a,FALSE
24,h_l,0,l,h,FALSE
24,q_l,0,l,q,FALSE
24,e_a,0,a,e,FALSE
24,r_a,0,a,r,FALSE
24,a_a,0,a,a,FALSE
24,q_a,8707.36683067346,a,q,FALSE
24,q_n,0,n,q,FALSE
25,__e,0,e,_,FALSE
25,e_l,0,l,e,FALSE
25,e_n,0,n,e,FALSE
25,a_l,0,l,a,FALSE
25,a_n,0,n,a,FALSE
25,h_l,0,l,h,FALSE
25,q_l,0,l,q,FALSE
25,e_a,0,a,e,FALSE
25,r_a,0,a,r,FALSE
25,a_a,0,a,a,FALSE
25,q_a,8655.122629689418,a,q,FALSE
25,q_n,0,n,q,FALSE
26,__e,0,e,_,FALSE
26,e_l,0,l,e,FALSE
26,e_n,0,n,e,FALSE
26,a_l,0,l,a,FALSE
26,a_n,0,n,a,FALSE
26,h_l,0,l,h,FALSE
26,q_l,0,l,q,FALSE
26,e_a,0,a,e,FALSE
26,r_a,0,a,r,FALSE
26,a_a,0,a,a,FALSE
26,q_a,8603.191893911282,a,q,FALSE
26,q_n,0,n,q,FALSE
27,__e,0,e,_,FALSE
27,e_l,0,l,e,FALSE
27,e_n,0,n,e,FALSE
27,a_l,0,l,a,FALSE
27,a_n,0,n,a,FALSE
27,h_l,0,l,h,FALSE
27,q_l,0,l,q,FALSE
27,e_a,0,a,e,FALSE
27,r_a,0,a,r,FALSE
27,a_a,0,a,a,FALSE
27,q_a,8551.572742547814,a,q,FALSE
27,q_n,0,n,q,FALSE
28,__e,0,e,_,FALSE
28,e_l,0,l,e,FALSE
28,e_n,0,n,e,FALSE
28,a_l,0,l,a,FALSE
28,a_n,0,n,a,FALSE
28,h_l,0,l,h,FALSE
28,q_l,0,l,q,FALSE
28,e_a,0,a,e,FALSE
28,r_a,0,a,r,FALSE
28,a_a,0,a,a,FALSE
28,q_a,8500.263306092527,a,q,FALSE
28,q_n,0,n,q,FALSE
29,__e,0,e,_,FALSE
29,e_l,0,l,e,FALSE
29,e_n,0,n,e,FALSE
29,a_l,0,l,a,FALSE
29,a_n,0,n,a,FALSE
29,h_l,0,l,h,FALSE
29,q_l,0,l,q,FALSE
29,e_a,0,a,e,FALSE
29,r_a,0,a,r,FALSE
29,a_a,0,a,a,FALSE
29,q_a,8449.261726255972,a,q,FALSE
29,q_n,0,n,q,FALSE
30,__e,0,e,_,FALSE
30,e_l,0,l,e,FALSE
30,e_n,0,n,e,FALSE
30,a_l,0,l,a,FALSE
30,a_n,0,n,a,FALSE
30,h_l,0,l,h,FALSE
30,q_l,0,l,q,FALSE
30,e_a,0,a,e,FALSE
30,r_a,0,a,r,FALSE
30,a_a,0,a,a,FALSE
30,q_a,8398.566155898436,a,q,FALSE
30,q_n,0,n,q,FALSE
31,__e,0,e,_,FALSE
31,e_l,0,l,e,FALSE
31,e_n,0,n,e,FALSE
31,a_l,0,l,a,FALSE
31,a_n,0,n,a,FALSE
31,h_l,0,l,h,FALSE
31,q_l,0,l,q,FALSE
31,e_a,0,a,e,FALSE
31,r_a,0,a,r,FALSE
31,a_a,0,a,a,FALSE
31,q_a,8348.174758963045,a,q,FALSE
31,q_n,0,n,q,FALSE
32,__e,0,e,_,FALSE
32,e_l,0,l,e,FALSE
32,e_n,0,n,e,FALSE
32,a_l,0,l,a,FALSE
32,a_n,0,n,a,FALSE
32,h_l,0,l,h,FALSE
32,q_l,0,l,q,FALSE
32,e_a,0,a,e,FALSE
32,r_a,0,a,r,FALSE
32,a_a,0,a,a,FALSE
32,q_a,8298.085710409267,a,q,FALSE
32,q_n,0,n,q,FALSE
33,__e,0,e,_,FALSE
33,e_l,0,l,e,FALSE
33,e_n,0,n,e,FALSE
33,a_l,0,l,a,FALSE
33,a_n,0,n,a,FALSE
33,h_l,0,l,h,FALSE
33,q_l,0,l,q,FALSE
33,e_a,0,a,e,FALSE
33,r_a,0,a,r,FALSE
33,a_a,0,a,a,FALSE
33,q_a,8248.29719614681,a,q,FALSE
33,q_n,0,n,q,FALSE
34,__e,0,e,_,FALSE
34,e_l,0,l,e,FALSE
34,e_n,0,n,e,FALSE
34,a_l,0,l,a,FALSE
34,a_n,0,n,a,FALSE
34,h_l,0,l,h,FALSE
34,q_l,0,l,q,FALSE
34,e_a,0,a,e,FALSE
34,r_a,0,a,r,FALSE
34,a_a,0,a,a,FALSE
34,q_a,8198.807412969929,a,q,FALSE
34,q_n,0,n,q,FALSE
35,__e,0,e,_,FALSE
35,e_l,0,l,e,FALSE
35,e_n,0,n,e,FALSE
35,a_l,0,l,a,FALSE
35,a_n,0,n,a,FALSE
35,h_l,0,l,h,FALSE
35,q_l,0,l,q,FALSE
35,e_a,0,a,e,FALSE
35,r_a,0,a,r,FALSE
35,a_a,0,a,a,FALSE
35,q_a,8149.614568492109,a,q,FALSE
35,q_n,0,n,q,FALSE
36,__e,0,e,_,FALSE
36,e_l,0,l,e,FALSE
36,e_n,0,n,e,FALSE
36,a_l,0,l,a,FALSE
36,a_n,0,n,a,FALSE
36,h_l,0,l,h,FALSE
36,q_l,0,l,q,FALSE
36,e_a,0,a,e,FALSE
36,r_a,0,a,r,FALSE
36,a_a,0,a,a,FALSE
36,q_a,8100.716881081156,a,q,FALSE
36,q_n,0,n,q,FALSE
37,__e,0,e,_,FALSE
37,e_l,0,l,e,FALSE
37,e_n,0,n,e,FALSE
37,a_l,0,l,a,FALSE
37,a_n,0,n,a,FALSE
37,h_l,0,l,h,FALSE
37,q_l,0,l,q,FALSE
37,e_a,0,a,e,FALSE
37,r_a,0,a,r,FALSE
37,a_a,0,a,a,FALSE
37,q_a,8052.11257979467,a,q,FALSE
37,q_n,0,n,q,FALSE
38,__e,0,e,_,FALSE
38,e_l,0,l,e,FALSE
38,e_n,0,n,e,FALSE
38,a_l,0,l,a,FALSE
38,a_n,0,n,a,FALSE
38,h_l,0,l,h,FALSE
38,q_l,0,l,q,FALSE
38,e_a,0,a,e,FALSE
38,r_a,0,a,r,FALSE
38,a_a,0,a,a,FALSE
38,q_a,8003.799904315902,a,q,FALSE
38,q_n,0,n,q,FALSE
39,__e,0,e,_,FALSE
39,e_l,0,l,e,FALSE
39,e_n,0,n,e,FALSE
39,a_l,0,l,a,FALSE
39,a_n,0,n,a,FALSE
39,h_l,0,l,h,FALSE
39,q_l,0,l,q,FALSE
39,e_a,0,a,e,FALSE
39,r_a,0,a,r,FALSE
39,a_a,0,a,a,FALSE
39,q_a,7955.777104890006,a,q,FALSE
39,q_n,0,n,q,FALSE
40,__e,0,e,_,FALSE
40,e_l,0,l,e,FALSE
40,e_n,0,n,e,FALSE
40,a_l,0,l,a,FALSE
40,a_n,0,n,a,FALSE
40,h_l,0,l,h,FALSE
40,q_l,0,l,q,FALSE
40,e_a,0,a,e,FALSE
40,r_a,0,a,r,FALSE
40,a_a,0,a,a,FALSE
40,q_a,7908.042442260666,a,q,FALSE
40,q_n,0,n,q,FALSE
41,__e,0,e,_,FALSE
41,e_l,0,l,e,FALSE
41,e_n,0,n,e,FALSE
41,a_l,0,l,a,FALSE
41,a_n,0,n,a,FALSE
41,h_l,0,l,h,FALSE
41,q_l,0,l,q,FALSE
41,e_a,0,a,e,FALSE
41,r_a,0,a,r,FALSE
41,a_a,0,a,a,FALSE
41,q_a,7860.594187607102,a,q,FALSE
41,q_n,0,n,q,FALSE
42,__e,0,e,_,FALSE
42,e_l,0,l,e,FALSE
42,e_n,0,n,e,FALSE
42,a_l,0,l,a,FALSE
42,a_n,0,n,a,FALSE
42,h_l,0,l,h,FALSE
42,q_l,0,l,q,FALSE
42,e_a,0,a,e,FALSE
42,r_a,0,a,r,FALSE
42,a_a,0,a,a,FALSE
42,q_a,7813.430622481459,a,q,FALSE
42,q_n,0,n,q,FALSE
43,__e,0,e,_,FALSE
43,e_l,0,l,e,FALSE
43,e_n,0,n,e,FALSE
43,a_l,0,l,a,FALSE
43,a_n,0,n,a,FALSE
43,h_l,0,l,h,FALSE
