value,j_day,pred,pred_subcategory
16.23,271,temp,NA
16.23,272,temp,NA
16.23,273,temp,NA
9.82,274,temp,NA
9.82,275,temp,NA
9.82,276,temp,NA
9.82,277,temp,NA
9.82,278,temp,NA
9.82,279,temp,NA
9.82,280,temp,NA
9.82,281,temp,NA
9.82,282,temp,NA
9.82,283,temp,NA
9.82,284,temp,NA
9.82,285,temp,NA
9.82,286,temp,NA
9.82,287,temp,NA
9.82,288,temp,NA
9.82,289,temp,NA
9.82,290,temp,NA
9.82,291,temp,NA
9.82,292,temp,NA
9.82,293,temp,NA
9.82,294,temp,NA
9.82,295,temp,NA
9.82,296,temp,NA
9.82,297,temp,NA
9.82,298,temp,NA
9.82,299,temp,NA
9.82,300,temp,NA
9.82,301,temp,NA
9.82,302,temp,NA
9.82,303,temp,NA
9.82,304,temp,NA
4.21,305,temp,NA
4.21,306,temp,NA
4.21,307,temp,NA
4.21,308,temp,NA
4.21,309,temp,NA
4.21,310,temp,NA
4.21,311,temp,NA
4.21,312,temp,NA
4.21,313,temp,NA
4.21,314,temp,NA
4.21,315,temp,NA
4.21,316,temp,NA
4.21,317,temp,NA
4.21,318,temp,NA
4.21,319,temp,NA
4.21,320,temp,NA
4.21,321,temp,NA
4.21,322,temp,NA
4.21,323,temp,NA
4.21,324,temp,NA
4.21,325,temp,NA
4.21,326,temp,NA
4.21,327,temp,NA
4.21,328,temp,NA
4.21,329,temp,NA
4.21,330,temp,NA
4.21,331,temp,NA
4.21,332,temp,NA
4.21,333,temp,NA
4.21,334,temp,NA
-0,335,temp,NA
-0,336,temp,NA
-0,337,temp,NA
-0,338,temp,NA
-0,339,temp,NA
-0,340,temp,NA
-0,341,temp,NA
-0,342,temp,NA
-0,343,temp,NA
-0,344,temp,NA
-0,345,temp,NA
-0,346,temp,NA
-0,347,temp,NA
-0,348,temp,NA
-0,349,temp,NA
-0,350,temp,NA
-0,351,temp,NA
-0,352,temp,NA
-0,353,temp,NA
-0,354,temp,NA
-0,355,temp,NA
-0,356,temp,NA
-0,357,temp,NA
-0,358,temp,NA
-0,359,temp,NA
-0,360,temp,NA
-0,361,temp,NA
-0,362,temp,NA
-0,363,temp,NA
-0,364,temp,NA
-0,365,temp,NA
-0,366,temp,NA
-0,367,temp,NA
-0,368,temp,NA
-0,369,temp,NA
-0,370,temp,NA
-0,371,temp,NA
-0,372,temp,NA
-0,373,temp,NA
-0,374,temp,NA
-0,375,temp,NA
-0,376,temp,NA
-0,377,temp,NA
-0,378,temp,NA
-0,379,temp,NA
-0,380,temp,NA
-0,381,temp,NA
-0,382,temp,NA
-0,383,temp,NA
-0,384,temp,NA
-0,385,temp,NA
-0,386,temp,NA
-0,387,temp,NA
-0,388,temp,NA
-0,389,temp,NA
-0,390,temp,NA
-0,391,temp,NA
-0,392,temp,NA
-0,393,temp,NA
-0,394,temp,NA
-0,395,temp,NA
-0,396,temp,NA
-0,397,temp,NA
-0,398,temp,NA
-0,399,temp,NA
-0,400,temp,NA
-0,401,temp,NA
-0,402,temp,NA
-0,403,temp,NA
-0,404,temp,NA
-0,405,temp,NA
-0,406,temp,NA
-0,407,temp,NA
-0,408,temp,NA
-0,409,temp,NA
-0,410,temp,NA
-0,411,temp,NA
-0,412,temp,NA
-0,413,temp,NA
-0,414,temp,NA
-0,415,temp,NA
-0,416,temp,NA
-0,417,temp,NA
-0,418,temp,NA
-0,419,temp,NA
-0,420,temp,NA
-0,421,temp,NA
-0,422,temp,NA
-0,423,temp,NA
-0,424,temp,NA
0.26,425,temp,NA
0.26,426,temp,NA
0.26,427,temp,NA
0.26,428,temp,NA
0.26,429,temp,NA
0.26,430,temp,NA
0.26,431,temp,NA
0.26,432,temp,NA
0.26,433,temp,NA
0.26,434,temp,NA
0.26,435,temp,NA
0.26,436,temp,NA
0.26,437,temp,NA
0.26,438,temp,NA
0.26,439,temp,NA
0.26,440,temp,NA
0.26,441,temp,NA
0.26,442,temp,NA
0.26,443,temp,NA
0.26,444,temp,NA
0.26,445,temp,NA
0.26,446,temp,NA
0.26,447,temp,NA
0.26,448,temp,NA
0.26,449,temp,NA
0.26,450,temp,NA
0.26,451,temp,NA
0.26,452,temp,NA
0.26,453,temp,NA
0.26,454,temp,NA
0.26,455,temp,NA
6.23,456,temp,NA
6.23,457,temp,NA
6.23,458,temp,NA
6.23,459,temp,NA
6.23,460,temp,NA
6.23,461,temp,NA
6.23,462,temp,NA
6.23,463,temp,NA
6.23,464,temp,NA
6.23,465,temp,NA
6.23,466,temp,NA
6.23,467,temp,NA
6.23,468,temp,NA
6.23,469,temp,NA
6.23,470,temp,NA
6.23,471,temp,NA
6.23,472,temp,NA
6.23,473,temp,NA
6.23,474,temp,NA
6.23,475,temp,NA
6.23,476,temp,NA
6.23,477,temp,NA
6.23,478,temp,NA
6.23,479,temp,NA
6.23,480,temp,NA
6.23,481,temp,NA
6.23,482,temp,NA
6.23,483,temp,NA
6.23,484,temp,NA
6.23,485,temp,NA
12.54,486,temp,NA
12.54,487,temp,NA
12.54,488,temp,NA
12.54,489,temp,NA
12.54,490,temp,NA
12.54,491,temp,NA
12.54,492,temp,NA
12.54,493,temp,NA
12.54,494,temp,NA
12.54,495,temp,NA
12.54,496,temp,NA
12.54,497,temp,NA
12.54,498,temp,NA
12.54,499,temp,NA
12.54,500,temp,NA
12.54,501,temp,NA
12.54,502,temp,NA
12.54,503,temp,NA
12.54,504,temp,NA
12.54,505,temp,NA
12.54,506,temp,NA
12.54,507,temp,NA
12.54,508,temp,NA
12.54,509,temp,NA
12.54,510,temp,NA
12.54,511,temp,NA
12.54,512,temp,NA
12.54,513,temp,NA
12.54,514,temp,NA
12.54,515,temp,NA
12.54,516,temp,NA
17.72,517,temp,NA
17.72,518,temp,NA
17.72,519,temp,NA
17.72,520,temp,NA
17.72,521,temp,NA
17.72,522,temp,NA
17.72,523,temp,NA
17.72,524,temp,NA
17.72,525,temp,NA
17.72,526,temp,NA
17.72,527,temp,NA
17.72,528,temp,NA
17.72,529,temp,NA
17.72,530,temp,NA
17.72,531,temp,NA
17.72,532,temp,NA
17.72,533,temp,NA
17.72,534,temp,NA
17.72,535,temp,NA
17.72,536,temp,NA
17.72,537,temp,NA
17.72,538,temp,NA
17.72,539,temp,NA
17.72,540,temp,NA
17.72,541,temp,NA
17.72,542,temp,NA
17.72,543,temp,NA
17.72,544,temp,NA
17.72,545,temp,NA
17.72,546,temp,NA
20.79,547,temp,NA
20.79,548,temp,NA
20.79,549,temp,NA
20.79,550,temp,NA
20.79,551,temp,NA
20.79,552,temp,NA
20.79,553,temp,NA
20.79,554,temp,NA
20.79,555,temp,NA
20.79,556,temp,NA
20.79,557,temp,NA
20.79,558,temp,NA
20.79,559,temp,NA
20.79,560,temp,NA
20.79,561,temp,NA
20.79,562,temp,NA
20.79,563,temp,NA
20.79,564,temp,NA
20.79,565,temp,NA
20.79,566,temp,NA
20.79,567,temp,NA
20.79,568,temp,NA
20.79,569,temp,NA
20.79,570,temp,NA
20.79,571,temp,NA
20.79,572,temp,NA
20.79,573,temp,NA
20.79,574,temp,NA
20.79,575,temp,NA
20.79,576,temp,NA
20.79,577,temp,NA
20.09,578,temp,NA
20.09,579,temp,NA
20.09,580,temp,NA
20.09,581,temp,NA
20.09,582,temp,NA
20.09,583,temp,NA
20.09,584,temp,NA
20.09,585,temp,NA
20.09,586,temp,NA
20.09,587,temp,NA
20.09,588,temp,NA
20.09,589,temp,NA
20.09,590,temp,NA
20.09,591,temp,NA
20.09,592,temp,NA
20.09,593,temp,NA
20.09,594,temp,NA
20.09,595,temp,NA
20.09,596,temp,NA
20.09,597,temp,NA
20.09,598,temp,NA
20.09,599,temp,NA
20.09,600,temp,NA
20.09,601,temp,NA
20.09,602,temp,NA
20.09,603,temp,NA
20.09,604,temp,NA
20.09,605,temp,NA
20.09,606,temp,NA
20.09,607,temp,NA
20.09,608,temp,NA
16.23,609,temp,NA
16.23,610,temp,NA
16.23,611,temp,NA
16.23,612,temp,NA
16.23,613,temp,NA
16.23,614,temp,NA
16.23,615,temp,NA
16.23,616,temp,NA
16.23,617,temp,NA
16.23,618,temp,NA
16.23,619,temp,NA
16.23,620,temp,NA
16.23,621,temp,NA
16.23,622,temp,NA
16.23,623,temp,NA
16.23,624,temp,NA
16.23,625,temp,NA
16.23,626,temp,NA
16.23,627,temp,NA
16.23,628,temp,NA
16.23,629,temp,NA
16.23,630,temp,NA
16.23,631,temp,NA
16.23,632,temp,NA
16.23,633,temp,NA
16.23,634,temp,NA
16.23,635,temp,NA
