j_day,host_spp,host_den
213,rodent,200
214,deer,20
214,rodent,200
215,deer,20
215,rodent,200
216,deer,20
216,rodent,200
217,deer,20
217,rodent,200
218,deer,20
218,rodent,200
219,deer,20
219,rodent,200
220,deer,20
220,rodent,200
221,deer,20
221,rodent,200
222,deer,20
222,rodent,200
223,deer,20
223,rodent,200
224,deer,20
224,rodent,200
225,deer,20
225,rodent,200
226,deer,20
226,rodent,200
227,deer,20
227,rodent,200
228,deer,20
228,rodent,200
229,deer,20
229,rodent,200
230,deer,20
230,rodent,200
231,deer,20
231,rodent,200
232,deer,20
232,rodent,200
233,deer,20
233,rodent,200
234,deer,20
234,rodent,200
235,deer,20
235,rodent,200
236,deer,20
236,rodent,200
237,deer,20
237,rodent,200
238,deer,20
238,rodent,200
239,deer,20
239,rodent,200
240,deer,20
240,rodent,200
241,deer,20
241,rodent,200
242,deer,20
242,rodent,200
243,deer,20
243,rodent,200
244,deer,20
244,rodent,200
245,deer,20
245,rodent,200
246,deer,20
246,rodent,200
247,deer,20
247,rodent,200
248,deer,20
248,rodent,200
249,deer,20
249,rodent,200
250,deer,20
250,rodent,200
251,deer,20
251,rodent,200
252,deer,20
252,rodent,200
253,deer,20
253,rodent,200
254,deer,20
254,rodent,200
255,deer,20
255,rodent,200
256,deer,20
256,rodent,200
257,deer,20
257,rodent,200
258,deer,20
258,rodent,200
259,deer,20
259,rodent,200
260,deer,20
260,rodent,200
261,deer,20
261,rodent,200
262,deer,20
262,rodent,200
263,deer,20
263,rodent,200
264,deer,20
264,rodent,200
265,deer,20
265,rodent,200
266,deer,20
266,rodent,200
267,deer,20
267,rodent,200
268,deer,20
268,rodent,200
269,deer,20
269,rodent,200
270,deer,20
270,rodent,200
271,deer,20
271,rodent,200
272,deer,20
272,rodent,200
273,deer,20
273,rodent,200
274,deer,20
274,rodent,200
275,deer,20
275,rodent,200
276,deer,20
276,rodent,200
277,deer,20
277,rodent,200
278,deer,20
278,rodent,200
279,deer,20
279,rodent,200
280,deer,20
280,rodent,200
281,deer,20
281,rodent,200
282,deer,20
282,rodent,200
283,deer,20
283,rodent,200
284,deer,20
284,rodent,200
285,deer,20
285,rodent,200
286,deer,20
286,rodent,200
287,deer,20
287,rodent,200
288,deer,20
288,rodent,200
289,deer,20
289,rodent,200
290,deer,20
290,rodent,200
291,deer,20
291,rodent,200
292,deer,20
292,rodent,200
293,deer,20
293,rodent,200
294,deer,20
294,rodent,200
295,deer,20
295,rodent,200
296,deer,20
296,rodent,200
297,deer,20
297,rodent,200
298,deer,20
298,rodent,200
299,deer,20
299,rodent,200
300,deer,20
300,rodent,200
301,deer,20
301,rodent,200
302,deer,20
302,rodent,200
303,deer,20
303,rodent,200
304,deer,20
304,rodent,200
305,deer,20
305,rodent,200
306,deer,20
306,rodent,200
307,deer,20
307,rodent,200
308,deer,20
308,rodent,200
309,deer,20
309,rodent,200
310,deer,20
310,rodent,200
311,deer,20
311,rodent,200
312,deer,20
312,rodent,200
313,deer,20
313,rodent,200
314,deer,20
314,rodent,200
315,deer,20
315,rodent,200
316,deer,20
316,rodent,200
317,deer,20
317,rodent,200
318,deer,20
318,rodent,200
319,deer,20
319,rodent,200
320,deer,20
320,rodent,200
321,deer,20
321,rodent,200
322,deer,20
322,rodent,200
323,deer,20
323,rodent,200
324,deer,20
324,rodent,200
325,deer,20
325,rodent,200
326,deer,20
326,rodent,200
327,deer,20
327,rodent,200
328,deer,20
328,rodent,200
329,deer,20
329,rodent,200
330,deer,20
330,rodent,200
331,deer,20
331,rodent,200
332,deer,20
332,rodent,200
333,deer,20
333,rodent,200
334,deer,20
334,rodent,200
335,deer,20
335,rodent,200
336,deer,20
336,rodent,200
337,deer,20
337,rodent,200
338,deer,20
338,rodent,200
339,deer,20
339,rodent,200
340,deer,20
340,rodent,200
341,deer,20
341,rodent,200
342,deer,20
342,rodent,200
343,deer,20
343,rodent,200
344,deer,20
344,rodent,200
345,deer,20
345,rodent,200
346,deer,20
346,rodent,200
347,deer,20
347,rodent,200
348,deer,20
348,rodent,200
349,deer,20
349,rodent,200
350,deer,20
350,rodent,200
351,deer,20
351,rodent,200
352,deer,20
352,rodent,200
353,deer,20
353,rodent,200
354,deer,20
354,rodent,200
355,deer,20
355,rodent,200
356,deer,20
356,rodent,200
357,deer,20
357,rodent,200
358,deer,20
358,rodent,200
359,deer,20
359,rodent,200
360,deer,20
360,rodent,200
361,deer,20
361,rodent,200
362,deer,20
362,rodent,200
363,deer,20
363,rodent,200
364,deer,20
364,rodent,200
365,deer,20
365,rodent,200
366,deer,20
366,rodent,200
367,deer,20
367,rodent,200
368,deer,20
368,rodent,200
369,deer,20
369,rodent,200
370,deer,20
370,rodent,200
371,deer,20
371,rodent,200
372,deer,20
372,rodent,200
373,deer,20
373,rodent,200
374,deer,20
374,rodent,200
375,deer,20
375,rodent,200
376,deer,20
376,rodent,200
377,deer,20
377,rodent,200
378,deer,20
378,rodent,200
379,deer,20
379,rodent,200
380,deer,20
380,rodent,200
381,deer,20
381,rodent,200
382,deer,20
382,rodent,200
383,deer,20
383,rodent,200
384,deer,20
384,rodent,200
385,deer,20
385,rodent,200
386,deer,20
386,rodent,200
387,deer,20
387,rodent,200
388,deer,20
388,rodent,200
389,deer,20
389,rodent,200
390,deer,20
390,rodent,200
391,deer,20
391,rodent,200
392,deer,20
392,rodent,200
393,deer,20
393,rodent,200
394,deer,20
394,rodent,200
395,deer,20
395,rodent,200
396,deer,20
396,rodent,200
397,deer,20
397,rodent,200
398,deer,20
398,rodent,200
399,deer,20
399,rodent,200
400,deer,20
400,rodent,200
401,deer,20
401,rodent,200
402,deer,20
402,rodent,200
403,deer,20
403,rodent,200
404,deer,20
404,rodent,200
405,deer,20
405,rodent,200
406,deer,20
406,rodent,200
407,deer,20
407,rodent,200
408,deer,20
408,rodent,200
409,deer,20
409,rodent,200
410,deer,20
410,rodent,200
411,deer,20
411,rodent,200
412,deer,20
412,rodent,200
413,deer,20
413,rodent,200
414,deer,20
414,rodent,200
415,deer,20
415,rodent,200
416,deer,20
416,rodent,200
417,deer,20
417,rodent,200
418,deer,20
418,rodent,200
419,deer,20
419,rodent,200
420,deer,20
420,rodent,200
421,deer,20
421,rodent,200
422,deer,20
422,rodent,200
423,deer,20
423,rodent,200
424,deer,20
424,rodent,200
425,deer,20
425,rodent,200
426,deer,20
426,rodent,200
427,deer,20
427,rodent,200
428,deer,20
428,rodent,200
429,deer,20
429,rodent,200
430,deer,20
430,rodent,200
431,deer,20
431,rodent,200
432,deer,20
432,rodent,200
433,deer,20
433,rodent,200
434,deer,20
434,rodent,200
435,deer,20
435,rodent,200
436,deer,20
436,rodent,200
437,deer,20
437,rodent,200
438,deer,20
438,rodent,200
439,deer,20
439,rodent,200
440,deer,20
440,rodent,200
441,deer,20
441,rodent,200
442,deer,20
442,rodent,200
443,deer,20
443,rodent,200
444,deer,20
444,rodent,200
445,deer,20
445,rodent,200
446,deer,20
446,rodent,200
447,deer,20
447,rodent,200
448,deer,20
448,rodent,200
449,deer,20
449,rodent,200
450,deer,20
450,rodent,200
451,deer,20
451,rodent,200
452,deer,20
452,rodent,200
453,deer,20
453,rodent,200
454,deer,20
454,rodent,200
455,deer,20
455,rodent,200
456,deer,20
456,rodent,200
457,deer,20
457,rodent,200
458,deer,20
458,rodent,200
459,deer,20
459,rodent,200
460,deer,20
460,rodent,200
461,deer,20
461,rodent,200
462,deer,20
462,rodent,200
463,deer,20
463,rodent,200
464,deer,20
464,rodent,200
465,deer,20
465,rodent,200
466,deer,20
466,rodent,200
467,deer,20
467,rodent,200
468,deer,20
468,rodent,200
469,deer,20
469,rodent,200
470,deer,20
470,rodent,200
471,deer,20
471,rodent,200
472,deer,20
472,rodent,200
473,deer,20
473,rodent,200
474,deer,20
474,rodent,200
475,deer,20
475,rodent,200
476,deer,20
476,rodent,200
477,deer,20
477,rodent,200
478,deer,20
478,rodent,200
479,deer,20
479,rodent,200
480,deer,20
480,rodent,200
481,deer,20
481,rodent,200
482,deer,20
482,rodent,200
483,deer,20
483,rodent,200
484,deer,20
484,rodent,200
485,deer,20
485,rodent,200
486,deer,20
486,rodent,200
487,deer,20
487,rodent,200
488,deer,20
488,rodent,200
489,deer,20
489,rodent,200
490,deer,20
490,rodent,200
491,deer,20
491,rodent,200
492,deer,20
492,rodent,200
493,deer,20
493,rodent,200
494,deer,20
494,rodent,200
495,deer,20
495,rodent,200
496,deer,20
496,rodent,200
497,deer,20
497,rodent,200
498,deer,20
498,rodent,200
499,deer,20
499,rodent,200
500,deer,20
500,rodent,200
501,deer,20
501,rodent,200
502,deer,20
502,rodent,200
503,deer,20
503,rodent,200
504,deer,20
504,rodent,200
505,deer,20
505,rodent,200
506,deer,20
506,rodent,200
507,deer,20
507,rodent,200
508,deer,20
508,rodent,200
509,deer,20
509,rodent,200
510,deer,20
510,rodent,200
511,deer,20
511,rodent,200
512,deer,20
512,rodent,200
513,deer,20
513,rodent,200
514,deer,20
514,rodent,200
515,deer,20
515,rodent,200
516,deer,20
516,rodent,200
517,deer,20
517,rodent,200
518,deer,20
518,rodent,200
519,deer,20
519,rodent,200
520,deer,20
520,rodent,200
521,deer,20
521,rodent,200
522,deer,20
522,rodent,200
523,deer,20
523,rodent,200
524,deer,20
524,rodent,200
525,deer,20
525,rodent,200
526,deer,20
526,rodent,200
527,deer,20
527,rodent,200
528,deer,20
528,rodent,200
529,deer,20
529,rodent,200
530,deer,20
530,rodent,200
531,deer,20
531,rodent,200
532,deer,20
532,rodent,200
533,deer,20
533,rodent,200
534,deer,20
534,rodent,200
535,deer,20
535,rodent,200
536,deer,20
536,rodent,200
537,deer,20
537,rodent,200
538,deer,20
538,rodent,200
539,deer,20
539,rodent,200
540,deer,20
540,rodent,200
541,deer,20
541,rodent,200
542,deer,20
542,rodent,200
543,deer,20
543,rodent,200
544,deer,20
544,rodent,200
545,deer,20
545,rodent,200
546,deer,20
546,rodent,200
547,deer,20
547,rodent,200
548,deer,20
548,rodent,200
549,deer,20
549,rodent,200
550,deer,20
550,rodent,200
551,deer,20
551,rodent,200
552,deer,20
552,rodent,200
553,deer,20
553,rodent,200
554,deer,20
554,rodent,200
555,deer,20
555,rodent,200
556,deer,20
556,rodent,200
557,deer,20
557,rodent,200
558,deer,20
558,rodent,200
559,deer,20
559,rodent,200
560,deer,20
560,rodent,200
561,deer,20
561,rodent,200
562,deer,20
562,rodent,200
563,deer,20
563,rodent,200
564,deer,20
564,rodent,200
565,deer,20
565,rodent,200
566,deer,20
566,rodent,200
567,deer,20
567,rodent,200
568,deer,20
568,rodent,200
569,deer,20
569,rodent,200
570,deer,20
570,rodent,200
571,deer,20
571,rodent,200
572,deer,20
572,rodent,200
573,deer,20
573,rodent,200
574,deer,20
574,rodent,200
575,deer,20
575,rodent,200
576,deer,20
576,rodent,200
577,deer,20
577,rodent,200
578,deer,20
578,rodent,200
579,deer,20
579,rodent,200
580,deer,20
580,rodent,200
581,deer,20
581,rodent,200
582,deer,20
582,rodent,200
583,deer,20
583,rodent,200
584,deer,20
584,rodent,200
585,deer,20
585,rodent,200
586,deer,20
586,rodent,200
587,deer,20
587,rodent,200
588,deer,20
588,rodent,200
589,deer,20
589,rodent,200
590,deer,20
590,rodent,200
591,deer,20
591,rodent,200
592,deer,20
592,rodent,200
593,deer,20
593,rodent,200
594,deer,20
594,rodent,200
595,deer,20
595,rodent,200
596,deer,20
596,rodent,200
597,deer,20
597,rodent,200
598,deer,20
598,rodent,200
599,deer,20
599,rodent,200
600,deer,20
600,rodent,200
601,deer,20
601,rodent,200
602,deer,20
602,rodent,200
603,deer,20
603,rodent,200
604,deer,20
604,rodent,200
605,deer,20
605,rodent,200
606,deer,20
606,rodent,200
607,deer,20
607,rodent,200
608,deer,20
608,rodent,200
609,deer,20
609,rodent,200
610,deer,20
610,rodent,200
611,deer,20
611,rodent,200
612,deer,20
612,rodent,200
613,deer,20
613,rodent,200
614,deer,20
614,rodent,200
615,deer,20
615,rodent,200
616,deer,20
616,rodent,200
617,deer,20
617,rodent,200
618,deer,20
618,rodent,200
619,deer,20
619,rodent,200
620,deer,20
620,rodent,200
621,deer,20
621,rodent,200
622,deer,20
622,rodent,200
623,deer,20
623,rodent,200
624,deer,20
624,rodent,200
625,deer,20
625,rodent,200
626,deer,20
626,rodent,200
627,deer,20
627,rodent,200
628,deer,20
628,rodent,200
629,deer,20
629,rodent,200
630,deer,20
630,rodent,200
631,deer,20
631,rodent,200
632,deer,20
632,rodent,200
633,deer,20
633,rodent,200
634,deer,20
634,rodent,200
635,deer,20
635,rodent,200
636,deer,20
636,rodent,200
637,deer,20
637,rodent,200
638,deer,20
638,rodent,200
639,deer,20
639,rodent,200
640,deer,20
640,rodent,200
641,deer,20
641,rodent,200
642,deer,20
642,rodent,200
643,deer,20
643,rodent,200
644,deer,20
644,rodent,200
645,deer,20
645,rodent,200
646,deer,20
646,rodent,200
647,deer,20
647,rodent,200
648,deer,20
648,rodent,200
649,deer,20
649,rodent,200
650,deer,20
650,rodent,200
651,deer,20
651,rodent,200
652,deer,20
652,rodent,200
653,deer,20
653,rodent,200
654,deer,20
654,rodent,200
655,deer,20
655,rodent,200
656,deer,20
656,rodent,200
657,deer,20
657,rodent,200
658,deer,20
658,rodent,200
659,deer,20
659,rodent,200
660,deer,20
660,rodent,200
661,deer,20
661,rodent,200
662,deer,20
662,rodent,200
663,deer,20
663,rodent,200
664,deer,20
664,rodent,200
665,deer,20
665,rodent,200
666,deer,20
666,rodent,200
667,deer,20
667,rodent,200
668,deer,20
668,rodent,200
669,deer,20
669,rodent,200
670,deer,20
670,rodent,200
671,deer,20
671,rodent,200
672,deer,20
672,rodent,200
673,deer,20
673,rodent,200
674,deer,20
674,rodent,200
675,deer,20
675,rodent,200
676,deer,20
676,rodent,200
677,deer,20
677,rodent,200
678,deer,20
678,rodent,200
679,deer,20
679,rodent,200
680,deer,20
680,rodent,200
681,deer,20
681,rodent,200
682,deer,20
682,rodent,200
683,deer,20
683,rodent,200
684,deer,20
684,rodent,200
685,deer,20
685,rodent,200
686,deer,20
686,rodent,200
687,deer,20
687,rodent,200
688,deer,20
688,rodent,200
689,deer,20
689,rodent,200
690,deer,20
690,rodent,200
691,deer,20
691,rodent,200
692,deer,20
692,rodent,200
693,deer,20
693,rodent,200
694,deer,20
694,rodent,200
695,deer,20
695,rodent,200
696,deer,20
696,rodent,200
697,deer,20
697,rodent,200
698,deer,20
698,rodent,200
699,deer,20
699,rodent,200
700,deer,20
700,rodent,200
701,deer,20
701,rodent,200
702,deer,20
702,rodent,200
703,deer,20
703,rodent,200
704,deer,20
704,rodent,200
705,deer,20
705,rodent,200
706,deer,20
706,rodent,200
707,deer,20
707,rodent,200
708,deer,20
708,rodent,200
709,deer,20
709,rodent,200
710,deer,20
710,rodent,200
711,deer,20
711,rodent,200
712,deer,20
712,rodent,200
713,deer,20
713,rodent,200
714,deer,20
714,rodent,200
715,deer,20
715,rodent,200
716,deer,20
716,rodent,200
717,deer,20
717,rodent,200
718,deer,20
718,rodent,200
719,deer,20
719,rodent,200
720,deer,20
720,rodent,200
721,deer,20
721,rodent,200
722,deer,20
722,rodent,200
723,deer,20
723,rodent,200
724,deer,20
724,rodent,200
725,deer,20
725,rodent,200
726,deer,20
726,rodent,200
727,deer,20
727,rodent,200
728,deer,20
728,rodent,200
729,deer,20
729,rodent,200
730,deer,20
730,rodent,200
731,deer,20
731,rodent,200
732,deer,20
732,rodent,200
733,deer,20
733,rodent,200
734,deer,20
734,rodent,200
735,deer,20
735,rodent,200
736,deer,20
736,rodent,200
737,deer,20
737,rodent,200
738,deer,20
738,rodent,200
739,deer,20
739,rodent,200
740,deer,20
740,rodent,200
741,deer,20
741,rodent,200
742,deer,20
742,rodent,200
743,deer,20
743,rodent,200
744,deer,20
744,rodent,200
745,deer,20
745,rodent,200
746,deer,20
746,rodent,200
747,deer,20
747,rodent,200
748,deer,20
748,rodent,200
749,deer,20
749,rodent,200
750,deer,20
750,rodent,200
751,deer,20
751,rodent,200
752,deer,20
752,rodent,200
753,deer,20
753,rodent,200
754,deer,20
754,rodent,200
755,deer,20
755,rodent,200
756,deer,20
756,rodent,200
757,deer,20
757,rodent,200
758,deer,20
758,rodent,200
759,deer,20
759,rodent,200
760,deer,20
760,rodent,200
761,deer,20
761,rodent,200
762,deer,20
762,rodent,200
763,deer,20
763,rodent,200
764,deer,20
764,rodent,200
765,deer,20
765,rodent,200
766,deer,20
766,rodent,200
767,deer,20
767,rodent,200
768,deer,20
768,rodent,200
769,deer,20
769,rodent,200
770,deer,20
770,rodent,200
771,deer,20
771,rodent,200
772,deer,20
772,rodent,200
773,deer,20
773,rodent,200
774,deer,20
774,rodent,200
775,deer,20
775,rodent,200
776,deer,20
776,rodent,200
777,deer,20
777,rodent,200
778,deer,20
778,rodent,200
779,deer,20
779,rodent,200
780,deer,20
780,rodent,200
781,deer,20
781,rodent,200
782,deer,20
782,rodent,200
783,deer,20
783,rodent,200
784,deer,20
784,rodent,200
785,deer,20
785,rodent,200
786,deer,20
786,rodent,200
787,deer,20
787,rodent,200
788,deer,20
788,rodent,200
789,deer,20
789,rodent,200
790,deer,20
790,rodent,200
791,deer,20
791,rodent,200
792,deer,20
792,rodent,200
793,deer,20
793,rodent,200
794,deer,20
794,rodent,200
795,deer,20
795,rodent,200
796,deer,20
796,rodent,200
797,deer,20
797,rodent,200
798,deer,20
798,rodent,200
799,deer,20
799,rodent,200
800,deer,20
800,rodent,200
801,deer,20
801,rodent,200
802,deer,20
802,rodent,200
803,deer,20
803,rodent,200
804,deer,20
804,rodent,200
805,deer,20
805,rodent,200
806,deer,20
806,rodent,200
807,deer,20
807,rodent,200
808,deer,20
808,rodent,200
809,deer,20
809,rodent,200
810,deer,20
810,rodent,200
811,deer,20
811,rodent,200
812,deer,20
812,rodent,200
813,deer,20
813,rodent,200
814,deer,20
814,rodent,200
815,deer,20
815,rodent,200
816,deer,20
816,rodent,200
817,deer,20
817,rodent,200
818,deer,20
818,rodent,200
819,deer,20
819,rodent,200
820,deer,20
820,rodent,200
821,deer,20
821,rodent,200
822,deer,20
822,rodent,200
823,deer,20
823,rodent,200
824,deer,20
824,rodent,200
825,deer,20
825,rodent,200
826,deer,20
826,rodent,200
827,deer,20
827,rodent,200
828,deer,20
828,rodent,200
829,deer,20
829,rodent,200
830,deer,20
830,rodent,200
831,deer,20
831,rodent,200
832,deer,20
832,rodent,200
833,deer,20
833,rodent,200
834,deer,20
834,rodent,200
835,deer,20
835,rodent,200
836,deer,20
836,rodent,200
837,deer,20
837,rodent,200
838,deer,20
838,rodent,200
839,deer,20
839,rodent,200
840,deer,20
840,rodent,200
841,deer,20
841,rodent,200
842,deer,20
842,rodent,200
843,deer,20
843,rodent,200
844,deer,20
844,rodent,200
845,deer,20
845,rodent,200
846,deer,20
846,rodent,200
847,deer,20
847,rodent,200
848,deer,20
848,rodent,200
849,deer,20
849,rodent,200
850,deer,20
850,rodent,200
851,deer,20
851,rodent,200
852,deer,20
852,rodent,200
853,deer,20
853,rodent,200
854,deer,20
854,rodent,200
855,deer,20
855,rodent,200
856,deer,20
856,rodent,200
857,deer,20
857,rodent,200
858,deer,20
858,rodent,200
859,deer,20
859,rodent,200
860,deer,20
860,rodent,200
861,deer,20
861,rodent,200
862,deer,20
862,rodent,200
863,deer,20
863,rodent,200
864,deer,20
864,rodent,200
865,deer,20
865,rodent,200
866,deer,20
866,rodent,200
867,deer,20
867,rodent,200
868,deer,20
868,rodent,200
869,deer,20
869,rodent,200
870,deer,20
870,rodent,200
871,deer,20
871,rodent,200
872,deer,20
872,rodent,200
873,deer,20
873,rodent,200
874,deer,20
874,rodent,200
875,deer,20
875,rodent,200
876,deer,20
876,rodent,200
877,deer,20
877,rodent,200
878,deer,20
878,rodent,200
879,deer,20
879,rodent,200
880,deer,20
880,rodent,200
881,deer,20
881,rodent,200
882,deer,20
882,rodent,200
883,deer,20
883,rodent,200
884,deer,20
884,rodent,200
885,deer,20
885,rodent,200
886,deer,20
886,rodent,200
887,deer,20
887,rodent,200
888,deer,20
888,rodent,200
889,deer,20
889,rodent,200
890,deer,20
890,rodent,200
891,deer,20
891,rodent,200
892,deer,20
892,rodent,200
893,deer,20
893,rodent,200
894,deer,20
894,rodent,200
895,deer,20
895,rodent,200
896,deer,20
896,rodent,200
897,deer,20
897,rodent,200
898,deer,20
898,rodent,200
899,deer,20
899,rodent,200
900,deer,20
900,rodent,200
901,deer,20
901,rodent,200
902,deer,20
902,rodent,200
903,deer,20
903,rodent,200
904,deer,20
904,rodent,200
905,deer,20
905,rodent,200
906,deer,20
906,rodent,200
907,deer,20
907,rodent,200
908,deer,20
908,rodent,200
909,deer,20
909,rodent,200
910,deer,20
910,rodent,200
911,deer,20
911,rodent,200
912,deer,20
912,rodent,200
913,deer,20
913,rodent,200
914,deer,20
914,rodent,200
915,deer,20
915,rodent,200
916,deer,20
916,rodent,200
917,deer,20
917,rodent,200
918,deer,20
918,rodent,200
919,deer,20
919,rodent,200
920,deer,20
920,rodent,200
921,deer,20
921,rodent,200
922,deer,20
922,rodent,200
923,deer,20
923,rodent,200
924,deer,20
924,rodent,200
925,deer,20
925,rodent,200
926,deer,20
926,rodent,200
927,deer,20
927,rodent,200
928,deer,20
928,rodent,200
929,deer,20
929,rodent,200
930,deer,20
930,rodent,200
931,deer,20
931,rodent,200
932,deer,20
